Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
0,73,1,41.0,1,1,0,37429.0,12.0,55,0
1,44,1,28.0,1,1,0,47001.0,26.0,194,0
1,25,1,11.0,1,0,0,34946.0,152.0,280,0
1,23,1,30.0,1,0,0,22302.0,152.0,205,0
0,25,1,35.0,1,0,0,43058.0,152.0,222,0
1,22,1,11.0,0,0,0,30375.0,152.0,91,0
1,27,1,15.0,0,0,1,34155.0,152.0,82,0
0,25,1,8.0,1,0,0,31819.0,152.0,89,0
1,44,1,8.0,1,1,0,35524.0,26.0,30,0
1,49,1,28.0,1,1,0,23580.0,124.0,115,0
1,75,1,28.0,0,1,1,31118.0,122.0,237,0
0,31,1,8.0,1,0,0,27322.0,152.0,264,0
0,26,1,29.0,1,0,0,24988.0,152.0,282,0
0,28,1,30.0,1,0,0,37277.0,152.0,200,0
1,24,1,28.0,1,0,0,61952.0,152.0,88,0
1,66,1,6.0,1,1,0,24346.0,26.0,264,0
1,35,1,28.0,0,1,1,65452.0,124.0,166,0
1,67,1,8.0,0,2,1,52387.0,124.0,99,0
0,54,1,28.0,0,2,1,45608.0,26.0,66,0
0,45,1,3.0,0,2,1,30086.0,26.0,65,0
1,30,1,27.0,0,1,1,2630.0,124.0,103,0
1,52,1,28.0,0,1,0,33622.0,26.0,117,0
1,40,1,41.0,1,1,0,36128.0,124.0,149,0
1,74,1,8.0,1,1,0,31330.0,26.0,252,0
1,21,1,28.0,1,0,0,30126.0,152.0,163,0
1,28,1,6.0,1,0,0,24031.0,152.0,295,0
1,41,1,28.0,0,2,1,100218.0,124.0,108,1
0,21,1,36.0,0,0,1,44278.0,152.0,145,0
0,24,1,13.0,1,0,0,19435.0,151.0,160,0
0,24,1,50.0,1,0,0,2630.0,160.0,46,0
1,48,1,28.0,0,2,1,37861.0,26.0,54,0
1,27,1,30.0,1,0,0,25111.0,152.0,184,0
1,41,1,18.0,1,1,0,72414.0,26.0,264,0
0,48,1,8.0,1,1,0,39938.0,124.0,32,0
1,49,1,28.0,0,1,1,49817.0,154.0,64,0
0,41,1,28.0,0,1,1,44956.0,26.0,243,0
1,22,1,7.0,1,0,0,43696.0,152.0,95,0
1,70,1,37.0,1,1,0,39373.0,124.0,176,0
1,25,1,36.0,1,0,0,31470.0,152.0,202,0
1,29,1,18.0,1,0,0,37196.0,152.0,123,0
0,44,1,28.0,0,1,1,37093.0,26.0,207,1
0,51,1,28.0,0,1,1,72637.0,26.0,279,0
0,52,1,28.0,0,1,1,52415.0,154.0,282,0
0,65,1,28.0,1,1,0,39467.0,122.0,28,0
0,29,1,41.0,1,0,0,18041.0,152.0,244,0
0,22,1,8.0,0,0,0,2630.0,26.0,238,0
1,24,1,8.0,1,0,0,23032.0,152.0,292,0
1,47,1,8.0,0,1,1,42996.0,124.0,37,0
1,20,1,15.0,1,0,1,31034.0,160.0,99,0
0,24,1,13.0,1,0,0,20547.0,152.0,272,0
0,28,1,46.0,0,0,1,27798.0,152.0,52,0
0,23,1,10.0,1,0,0,23499.0,152.0,221,0
1,53,1,8.0,0,1,1,33961.0,30.0,135,0
0,22,1,46.0,1,0,0,33833.0,152.0,24,0
0,22,1,10.0,1,0,0,22909.0,152.0,159,0
0,23,1,41.0,0,0,1,28642.0,152.0,101,0
0,53,1,8.0,1,1,0,37948.0,26.0,226,0
0,67,1,28.0,0,1,1,45980.0,26.0,93,0
1,67,1,23.0,0,1,1,2630.0,157.0,107,0
0,21,1,32.0,0,0,1,21947.0,152.0,76,0
1,78,1,33.0,1,1,0,37274.0,26.0,23,0
0,24,1,11.0,1,0,0,63305.0,152.0,190,0
0,72,1,28.0,0,1,1,70357.0,124.0,230,0
1,29,1,29.0,1,0,0,30926.0,26.0,148,0
1,25,1,41.0,0,1,1,2630.0,157.0,268,0
1,28,1,46.0,1,0,0,20131.0,160.0,266,0
1,39,1,8.0,1,1,0,29665.0,26.0,221,0
0,29,1,3.0,0,0,1,32960.0,152.0,192,0
1,42,1,28.0,0,1,1,24451.0,124.0,132,0
1,23,1,34.0,1,0,0,34555.0,152.0,210,0
0,57,1,8.0,0,1,1,41631.0,156.0,209,0
0,21,1,37.0,0,0,1,27107.0,160.0,88,0
1,21,1,47.0,1,0,0,34455.0,160.0,85,0
1,22,1,35.0,1,0,0,22200.0,152.0,173,0
0,54,1,28.0,0,1,1,62770.0,26.0,54,0
0,26,1,11.0,1,0,0,2630.0,152.0,123,0
0,22,1,36.0,1,0,0,29837.0,152.0,228,0
1,44,1,15.0,0,1,1,31026.0,124.0,166,0
1,51,1,28.0,1,1,0,48461.0,26.0,23,0
0,27,1,14.0,1,0,0,21108.0,152.0,188,0
0,59,1,49.0,0,1,0,37614.0,124.0,191,0
1,30,1,36.0,0,0,0,2630.0,152.0,89,0
1,23,1,3.0,1,0,0,26944.0,152.0,31,0
1,65,1,8.0,0,1,1,35643.0,124.0,192,0
1,52,1,4.0,0,1,1,27958.0,122.0,36,0
0,22,1,3.0,1,0,0,22491.0,152.0,93,0
0,24,1,41.0,1,0,0,29257.0,152.0,291,0
1,38,1,41.0,1,1,0,49496.0,124.0,284,0
0,21,1,8.0,1,0,0,79082.0,152.0,288,0
0,31,1,28.0,0,1,1,51365.0,124.0,284,0
1,27,1,3.0,0,1,1,2630.0,157.0,228,0
1,41,1,15.0,1,1,0,2630.0,152.0,232,0
1,60,1,28.0,0,2,1,45130.0,26.0,25,0
0,21,1,29.0,1,0,0,24373.0,152.0,212,0
